127.0.0.1 - - [30/Jan/2026:14:34:44 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:34:45 +0530] "GET /RegistrationLogin/Imp.jsp HTTP/1.1" 200 2980
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:34:45 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:34:51 +0530] "GET /RegistrationLogin/register.jsp HTTP/1.1" 200 9792
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:34:57 +0530] "GET /RegistrationLogin/login.jsp HTTP/1.1" 200 4194
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:35:03 +0530] "GET /RegistrationLogin/register.jsp HTTP/1.1" 200 9792
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:43:34 +0530] "GET /RegistrationLogin/register.jsp HTTP/1.1" 200 9792
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:43:36 +0530] "GET /RegistrationLogin/login.jsp HTTP/1.1" 200 4194
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:43:49 +0530] "POST /RegistrationLogin/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:43:49 +0530] "GET /RegistrationLogin/image/logo.png HTTP/1.1" 200 7721
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:43:49 +0530] "GET /RegistrationLogin/dashboard.jsp HTTP/1.1" 200 45457
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:43:58 +0530] "GET /ProductManagement/ProductServlet HTTP/1.1" 200 21482
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:43:58 +0530] "GET /ProductManagement/image/logo.png HTTP/1.1" 200 7721
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:44:05 +0530] "GET /OrderManagement/ListOrdersServlet?seller_port_id=seller2 HTTP/1.1" 200 17148
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:44:05 +0530] "GET /OrderManagement/image/logo.png HTTP/1.1" 200 7721
0:0:0:0:0:0:0:1 - - [30/Jan/2026:14:44:09 +0530] "GET /Report_product/ReportedProductsServlet?port_id=seller2 HTTP/1.1" 200 23371
